year winter_temp adjusted_winter_temp summer_temp adjusted_summer_temp adjusted_year
800-1000 3.5 3.5 15.9 15.9 9.2
1000-1100 3.7 3.7 16.2 16.2 9.4
1100-1150 3.5 3.5 16.2 16.5 9.6
1150-1200 3.9 4.2 16.3 16.7 10.2
1200-1250 3.8 4.1 16.3 16.7 10.1
1250-1300 3.9 4.2 16.3 16.7 10.2
1300-1350 3.6 3.8 15.9 16.2 9.8
1350-1400 3.6 3.8 15.7 15.9 9.5
1400-1450 3.4 3.4 15.8 15.8 9.1
1450-1500 3.5 3.5 15.6 15.6 9.0
1500-1550 3.8 3.8 15.9 15.9 9.3
1550-1600 3.2 3.2 15.3 15.3 8.8
1600-1650 3.2 3.2 15.4 15.4 8.8
1650-1700 3.1 3.1 15.3 15.3 8.7
1700-1750 3.7 3.7 15.9 15.9 9.24
1750-1800 3.4 3.4 15.9 15.9 9.06
1800-1850 3.5 3.5 15.6 15.6 9.12
1850-1900 3.8 3.8 15.7 15.7 9.12
1900-1950 4.2 4.2 15.8 15.8 9.41
